Group	Name	Weight	Reference	PubMed	Source	Note
Physical Interactions	Tamura-Hara-Nishimura-2010	0.005273329145713691	Identification and characterization of nuclear pore complex components in Arabidopsis thaliana. Tamura et al. (2010). Plant Cell	http://www.ncbi.nlm.nih.gov/pubmed/21189294		
Physical Interactions	Carianopol-Gazzarrini-2020	0.004895152105613836	An abscisic acid-responsive protein interaction network for sucrose non-fermenting related kinase1 in abiotic stress response. Carianopol et al. (2020). Commun Biol	http://www.ncbi.nlm.nih.gov/pubmed/32218501		
Physical Interactions	IREF-intact	0.0042071824462131865				
Physical Interactions	Klopffleisch-Jones-2011	0.002447229293620479	Arabidopsis G-protein interactome reveals connections to cell wall carbohydrates and morphogenesis. Klopffleisch et al. (2011). Mol Syst Biol	http://www.ncbi.nlm.nih.gov/pubmed/21952135		
Physical Interactions	Dreze-Vidal-2011-repeat	0.0022874432784796106	Evidence for network evolution in an Arabidopsis interactome map. . (2011). Science	http://www.ncbi.nlm.nih.gov/pubmed/21798944		
Physical Interactions	Smakowska-Luzan-Belkhadir-2018	0.0022434102648215687	An extracellular network of Arabidopsis leucine-rich repeat receptor kinases. Smakowska-Luzan et al. (2018). Nature	http://www.ncbi.nlm.nih.gov/pubmed/29320478		
Physical Interactions	Mukhtar-Dangl-2011	0.0010894960531232394	Independently evolved virulence effectors converge onto hubs in a plant immune system network. Mukhtar et al. (2011). Science	http://www.ncbi.nlm.nih.gov/pubmed/21798943		
Physical Interactions	Lalonde-Frommer-2010	0.0005225497465255135	A membrane protein/signaling protein interaction network for Arabidopsis version AMPv2. Lalonde et al. (2010). Front Physiol	http://www.ncbi.nlm.nih.gov/pubmed/21423366		
Predicted	Lee-Rhee-2010 Protein interactions human2arabidopsis	0.03575732154582286	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Co-citation worm2arabidopsis	0.028268032447697704	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Co-citation yeast2arabidopsis	0.02397761346333728	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Gene neighbourhoods	0.019539597394177943	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 protein interactions yeast2arabidopsis	0.016362901523299053	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 protein interactions from complexes yeast2arabidopsis	0.015330487482902541	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Protein complexes yeast2arabidopsis	0.013877878676718835	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Co-expression yeast2arabidopsis	0.010818104028083902	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Genetic interactions yeast2arabidopsis	0.010643246442852685	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Protein complexes human2arabidopsis	0.008575895737864107	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Co-expression worm2arabidopsis	0.00775304319139573	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Co-inheritance	0.006415676381520526	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	PPI-Predicted (Interologs)	0.004078473608209479	A predicted interactome for Arabidopsis. Geisler-Lee et al. (2007). Plant Physiol	http://www.ncbi.nlm.nih.gov/pubmed/17675552		
Predicted	Lee-Rhee-2010 AraNet	0.003930711216324418	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 co-expression human2arabidopsis	0.0027478306455115797	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 shared protein domains yeast2arabidopsis	0.0025565046487818015	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Y2H human2arabidopsis	0.0017924976283419226	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Genetic interactions worm2arabidopsis	0.0016914296658902034	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Protein interactions fly2arabidopsis	0.0013997545256064178	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 shared protein domains human2arabidopsis	0.0013884507066448434	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Predicted	Lee-Rhee-2010 Y2H worm2arabidopsis	0.00030071236237428375	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Co-expression	Kram-Carter-2009	0.014259603525320862	Uncovering the Arabidopsis thaliana nectary transcriptome: investigation of differential gene expression in floral nectariferous tissues. Kram et al. (2009). BMC Plant Biol	http://www.ncbi.nlm.nih.gov/pubmed/19604393		
Co-expression	Bassel-Cutler-2008-Dormant Seed Expression	0.010742484543687335	Elucidating the germination transcriptional program using small molecules. Bassel et al. (2008). Plant Physiol	http://www.ncbi.nlm.nih.gov/pubmed/18359847		
Co-expression	Bassel-Cutler-2008-Germinating Seed Expression	0.009993641159523144	Elucidating the germination transcriptional program using small molecules. Bassel et al. (2008). Plant Physiol	http://www.ncbi.nlm.nih.gov/pubmed/18359847		
Co-expression	Zuber-Gallardo-2010 A	0.00991306538161401	The seed composition of Arabidopsis mutants for the group 3 sulfate transporters indicates a role in sulfate translocation within developing seeds. Zuber et al. (2010). Plant Physiol	http://www.ncbi.nlm.nih.gov/pubmed/20702726		
Co-expression	Ronemus-Martienssen-2006	0.009796724304858825	MicroRNA-targeted and small interfering RNA-mediated mRNA degradation is regulated by argonaute, dicer, and RNA-dependent RNA polymerase in Arabidopsis. Ronemus et al. (2006). Plant Cell	http://www.ncbi.nlm.nih.gov/pubmed/16798886		
Co-expression	Tintor-Saijo-2013	0.009517162583774825	Layered pattern receptor signaling via ethylene and endogenous elicitor peptides during Arabidopsis immunity to bacterial infection. Tintor et al. (2013). Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/23431187		
Co-expression	Schuler-Bauer-2011	0.009193338464848542	Transcriptome analysis by GeneTrail revealed regulation of functional categories in response to alterations of iron homeostasis in Arabidopsis thaliana. Schuler et al. (2011). BMC Plant Biol	http://www.ncbi.nlm.nih.gov/pubmed/21592396		
Co-expression	Bustos-Paz-Ares-2010	0.0091836084864037	A central regulatory system largely controls transcriptional activation and repression responses to phosphate starvation in Arabidopsis. Bustos et al. (2010). PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/20838596		
Co-expression	Schmid-Lohmann-2003 B	0.009181302807820911	Dissection of floral induction pathways using global expression analysis. Schmid et al. (2003). Development	http://www.ncbi.nlm.nih.gov/pubmed/14573523		
Co-expression	Queval-Noctor-2012	0.009061695235355074	Day length is a key regulator of transcriptomic responses to both CO(2) and H(2)O(2) in Arabidopsis. Queval et al. (2012). Plant Cell Environ	http://www.ncbi.nlm.nih.gov/pubmed/21631535		
Co-expression	Gifford-Birnbaum-2008	0.008653815848099775	Cell-specific nitrogen responses mediate developmental plasticity. Gifford et al. (2008). Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/18180456		
Co-expression	Pandey-Albert-2010	0.008554105942361131	Boolean modeling of transcriptome data reveals novel modes of heterotrimeric G-protein action. Pandey et al. (2010). Mol Syst Biol	http://www.ncbi.nlm.nih.gov/pubmed/20531402		
Co-expression	Deeken-Hedrich-2006 A	0.008259467465064119	An integrated view of gene expression and solute profiles of Arabidopsis tumors: a genome-wide approach. Deeken et al. (2006). Plant Cell	http://www.ncbi.nlm.nih.gov/pubmed/17172353		
Co-expression	Chang-Bailey-Serres-2012	0.008185910495434613	Transient MPK6 activation in response to oxygen deprivation and reoxygenation is mediated by mitochondria and aids seedling survival in Arabidopsis. Chang et al. (2012). Plant Mol Biol	http://www.ncbi.nlm.nih.gov/pubmed/22086331		
Co-expression	Dinneny-Benfey-2008 D	0.008036497725902094	Cell identity mediates the response of Arabidopsis roots to abiotic stress. Dinneny et al. (2008). Science	http://www.ncbi.nlm.nih.gov/pubmed/18436742		
Co-expression	Mustroph-Bailey-Serres-2009 B	0.008003150085786209	Profiling translatomes of discrete cell populations resolves altered cellular priorities during hypoxia in Arabidopsis. Mustroph et al. (2009). Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/19843695		
Co-expression	Goda-Shimada-2008 A	0.007990577842005584	The AtGenExpress hormone and chemical treatment data set: experimental design, data evaluation, model data analysis and data access. Goda et al. (2008). Plant J	http://www.ncbi.nlm.nih.gov/pubmed/18419781		
Co-expression	Arae-Chiba-2017	0.00765705636236164	Co-ordinated Regulations of mRNA Synthesis and Decay during Cold Acclimation in Arabidopsis Cells. Arae et al. (2017). Plant Cell Physiol	http://www.ncbi.nlm.nih.gov/pubmed/28444357		
Co-expression	Dinneny-Benfey-2008 F	0.0075103284626561115	Cell identity mediates the response of Arabidopsis roots to abiotic stress. Dinneny et al. (2008). Science	http://www.ncbi.nlm.nih.gov/pubmed/18436742		
Co-expression	Mustroph-Bailey-Serres-2009 C	0.0074785709301598375	Profiling translatomes of discrete cell populations resolves altered cellular priorities during hypoxia in Arabidopsis. Mustroph et al. (2009). Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/19843695		
Shared protein domains	INTERPRO	0.027599309795974046				
Shared protein domains	PFAM	0.02138142805429916				
Genetic Interactions	BIOGRID-SMALL-SCALE-STUDIES	0.024379686582246676				
Co-localization	Brady-Benfey-2007	0.007624135354087128	A high-resolution root spatiotemporal map reveals dominant expression patterns. Brady et al. (2007). Science	http://www.ncbi.nlm.nih.gov/pubmed/17975066		
